[' ',[u'chinese',[u'moroccan',[u'british',[u'greek',[u'russian',[u'southern_us',[u'irish',[u'mexican',[u'vietnamese',[u'brazilian',[u'japanese',[u'indian',[u'jamaican',[u'french',[u'spanish',[u'cajun_creole',[u'thai',[u'korean',[u'filipino',[u'italian',Max
 u'toploinsteaks',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'pearnectar',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
 u'fatshreddedcheddarcheese',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'vanillapowder',1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'candlenuts',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
 u'sorghum',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'skatewing',0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
 u'mapleextract',0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'kormapaste',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'laurelleaves',0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2
 u'yogurtcheese',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'cacaonibs',0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2
 u'beefdeliroastslicethinli',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2
 u'herringfillets',0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'burdock',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2
 u'frozencrabmeat',0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'smayonnaisewithlimejuice',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'yaki',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'durumwheatflour',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
 u'thaichiligarlicsauce',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'shreddedbasil',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'porkbouilloncube',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'kingprawns',2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,2,0,0,0,2
 u'vealknuckle',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'toastpoints',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'squabs',0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'gumbofilepowder',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'reducedfatcreamypeanutbutter',1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
 u'frozenpetitpois',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'boneinskinlesschickenthigh',0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
 u'garlicbread',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'herbseasonedstuffingmix',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'fermentedbeanpaste',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'shortcrustpastry',0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'watercressleaves',0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,2,2
 u'glutenflour',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'texturedsoyprotein',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'beurremani',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'icedtea',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'mexicanrice',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'duckegg',2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
 u'cookegghard',0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2
 u'whitecabbage',1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,2,1,0,0,2
 u'redfish',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'extralightoliveoil',0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2
 u'turmericroot',0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2
 u'shungiku',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'countryloaf',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
 u'glacedeviande',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'coldcut',0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
 u'agedmanchegocheese',0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
 u'tenderloinsteaks',0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
 u'hotsausage',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'butterfliedlegoflamb',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
 u'oldginger',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'dribasilleaves',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'cookedmeat',0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2
 u'unsmokedbacon',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'cava',0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
 u'dayoldbread',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
 u'bottomroundroast',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'uncleben',0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'rumpsteak',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'cutintoservingpieces',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'sweetitaliansausaglinks',0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'garlicshoots',1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
 u'wheatbeer',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'gouda',0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
 u'lemonthyme',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
 u'rawpistachios',0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
 u'heinzchilisauce',0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2
 u'nondairymilk',0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'chickengravymix',0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'roastedunsaltedcashews',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
 u'fiestasides',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'crystalhotsauce',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'apricotnectar',0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2
 u'orangebitters',0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'savoiardi',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'cherryjuice',0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'muenster',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'unsaltedroastedpistachios',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
 u'turkeybroth',0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,2
 u'instantpuddingmix',0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'miniaturechocolatechips',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'mizkanricevinegar',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'porcinipowder',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'knorrleekrecipmix',0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'slicedturkey',0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'babytatsoi',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'peaeggplants',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'knorrhomestylstockchicken',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'mexshreddedcheese',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'cookeditalianmeatballs',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'asiannoodles',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
 u'aniseoil',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'italian',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'mexicancookingsauce',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'boiledham',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'elbowpasta',0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'vanillayogurt',0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
 u'reducedsugarorangemarmalade',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'swede',0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'bacardi',0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
 u'driedsoba',1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'sambalchilepaste',2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2
 u'blackstrapmolasses',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'naturalvanillaicecream',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'bingcherries',0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
 u'refinedsugar',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'philadelphiacookingcreme',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'graysalt',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'buckwheat',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2
 u'filetmignon',0,0,2,0,0,1,0,1,0,0,1,0,0,2,0,0,2,2,0,0,2
 u'links',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'darkmiso',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'halibutsteak',0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,2
 u'bresaola',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'gravymaster',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'rennet',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'scotchwhisky',0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'allpotatopurpos',1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'tikkamasalacurrypaste',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'bottleditaliandressing',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'mixedbellpeppers',0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'kungpaosauce',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'redgrapefruit',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2
 u'choppedhazelnuts',0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'havarticheese',0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
 u'cannedchipotles',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'saucetomato',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'hoopcheese',0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'bagels',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'poppyseeddressing',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'barillaoven',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'whitevermouth',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'goyasazon',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'cinnamonrolls',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
 u'picholine',0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'precookedmeatballs',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'barbecuerub',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
 u'roti',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 u'chocolatemousse',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'jarlsberg',0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2
 u'breadandbutterpickleslices',0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'reducedfatricottacheese',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'centercutporkloinchops',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
 u'roundloaf',0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
 u'broadbeans',0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2
 u'babyturnips',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'sagopearls',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'tenderloin',0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'gyozaskins',2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2
 u'bottledchilisauce',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'kraftmiraclewhipdressing',0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2
 u'coconutmeat',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'wondraflour',0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'blackbeanandcornsalsa',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2
 u'cassavameal',0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
 u'cookiecrumbs',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'tahinipaste',1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'tartletshells',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'chiffonade',0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,2
 u'finosherry',0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
 u'readylasagne',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'sweetchocolate',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'flaxseedmeal',0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,2
 u'veggiecrumbles',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'johnsonville',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
 u'marjoramleaves',0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2
 u'grilledchicken',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2
 u'flavoredsyrup',0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
 u'japanesemayonnaise',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'onionsoup',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2
 u'emerilsoriginalessence',0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2
 u'coldmeatloaf',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'lowfatgreekyogurt',0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'ryeflour',0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'grapejuice',0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2
 u'calabaza',0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2
 u'sparklingwine',0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
 u'freshtunasteaks',0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,2
 u'melbatoast',0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'asianchiliredsauc',0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2
 u'pandanextract',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'luncheonmeat',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 u'valenciarice',0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
 u'jerkpaste',0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
 u'greatergalangal',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 u'grenadine',0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
 u'm',0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'chickencarcass',2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
 u'kiwifruits',0,0,1,0,0,0,1,1,1,2,0,0,1,0,1,0,0,2,0,0,2
 u'greekdressing',0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'starchypotatoes',0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
 u'uncookedvermicelli',1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
 u'glacecherries',0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
 u'chickenschmaltz',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'wontonnoodles',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'mccormickparsleyflakes',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'romeapples',0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
 u'blackpudding',0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'whitefleshedfish',1,0,0,0,0,0,0,2,0,1,0,1,0,2,1,0,1,0,0,1,2
 u'beeftendons',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
 u'peachesinlightsyrup',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'friedrice',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
 u'redgrape',0,1,1,2,0,2,0,2,0,1,0,0,0,0,1,0,1,0,0,2,2
 u'soursop',0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
 u'lambbreast',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'raguoldworldstylesweettomatobasilpastasauc',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'veganmargarine',0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2
 u'curingsalt',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'jujube',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
 u'lowfatcream',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
 u'frozenpeachslices',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'leanmincedlamb',0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'goldenzucchini',0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,2
 u'hotitalianturkeysausage',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'beefforstew',0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
 u'vealloinchops',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'freshchile',1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2
 u'crushedpretzels',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'blanchedalmondflour',0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'stew',0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,2,0,0,2
 u'thousandislanddressing',0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
 u'jamaicancurrypowder',0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
 u'londonbroil',0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2
 u'brazilnuts',0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
 u'sparklingsugar',0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'whitecannellinibeans',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'earlgreyteabags',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'lightlager',0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'nachochips',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'oldelpasotacoseasoningmix',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'pickledonion',0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2
 u'milletflour',2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
 u'sambalolek',2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
 u'fatskimmedreducedsodiumchickenbroth',1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
 u'yuzukosho',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'radishslices',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'ranchdipmix',0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'slicedsalami',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
 u'americancheeseslices',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2
 u'dash',0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'chestnutpur',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
 u'butterpecanicecream',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'traditionalitaliansauce',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'whitedistilledvinegar',2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,1,2
 u'ragucheesiclassicalfredosauc',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2
 u'creamicpeach',0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 u'sirlointiproast',1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2
 u'jambalayaricemix',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 u'buffalomozarella',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'creamcheesewithchivesandonion',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'grenadinesyrup',0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2
 u'compressedyeast',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
 u'babyradishes',0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
 u'pitapockets',0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 u'coulis',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'quatre',0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 u'coco',0,0,0,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2
 u'parmigiana',0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2
